F_1stpeak,wl_1stpeak,F_2ndpeak,wl_2ndpeak,F684,F761,LFtot,EFtot,EFtot_RC
#W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,W m-2 um-1 sr-1,W m-2 sr-1,W m-2,W m-2
5.718606e-01,688,3.548629e+00,745,5.261365e-01,2.401058e+00,2.029841e-01,7.682529e-01,4.274137e+00
NaN,NaN,3.409623e+00,742,6.424903e-01,2.006722e+00,2.088044e-01,7.903009e-01,3.361259e+00
NaN,NaN,3.838652e+00,743,5.829925e-01,2.394844e+00,2.233499e-01,8.469318e-01,4.079127e+00
6.344273e-01,688,3.946994e+00,744,5.799679e-01,2.575319e+00,2.262980e-01,8.574647e-01,4.481828e+00
6.354007e-01,688,3.942921e+00,745,5.845961e-01,2.667842e+00,2.255379e-01,8.536143e-01,4.749041e+00
NaN,NaN,3.750585e+00,742,7.067393e-01,2.207395e+00,2.296849e-01,8.693309e-01,3.697384e+00
NaN,NaN,4.222517e+00,743,6.412917e-01,2.634329e+00,2.456849e-01,9.316250e-01,4.487040e+00
6.978701e-01,688,4.341693e+00,744,6.379647e-01,2.832851e+00,2.489278e-01,9.432112e-01,4.930011e+00
6.989408e-01,688,4.337213e+00,745,6.430557e-01,2.934626e+00,2.480917e-01,9.389758e-01,5.223945e+00
NaN,NaN,1.799372e+00,742,3.246937e-01,1.069607e+00,1.092240e-01,4.031277e-01,1.752785e+00
NaN,NaN,1.997211e+00,743,2.951046e-01,1.263838e+00,1.158819e-01,4.295559e-01,2.112493e+00
3.213869e-01,688,2.039216e+00,744,2.939357e-01,1.351766e+00,1.170066e-01,4.338869e-01,2.316433e+00
3.221572e-01,688,2.028183e+00,745,2.964732e-01,1.394624e+00,1.163699e-01,4.313397e-01,2.452271e+00
NaN,NaN,2.159246e+00,742,3.896324e-01,1.283529e+00,1.310688e-01,4.837532e-01,2.103342e+00
NaN,NaN,2.396654e+00,743,3.541255e-01,1.516605e+00,1.390583e-01,5.154671e-01,2.534992e+00
3.856643e-01,688,2.447059e+00,744,3.527229e-01,1.622119e+00,1.404079e-01,5.206642e-01,2.779720e+00
3.865887e-01,688,2.433820e+00,745,3.557678e-01,1.673548e+00,1.396439e-01,5.176076e-01,2.942725e+00
NaN,NaN,2.519121e+00,742,4.545712e-01,1.497450e+00,1.529136e-01,5.643787e-01,2.453899e+00
NaN,NaN,2.796096e+00,743,4.131464e-01,1.769373e+00,1.622347e-01,6.013783e-01,2.957490e+00
4.499417e-01,688,2.854902e+00,744,4.115100e-01,1.892473e+00,1.638093e-01,6.074416e-01,3.243006e+00
4.510201e-01,688,2.839457e+00,745,4.150624e-01,1.952473e+00,1.629179e-01,6.038756e-01,3.433179e+00
NaN,NaN,2.878995e+00,742,5.195099e-01,1.711372e+00,1.747584e-01,6.450043e-01,2.804455e+00
NaN,NaN,3.195538e+00,743,4.721674e-01,2.022140e+00,1.854111e-01,6.872894e-01,3.379989e+00
5.142191e-01,688,3.262745e+00,744,4.702972e-01,2.162826e+00,1.872106e-01,6.942190e-01,3.706293e+00
5.154516e-01,688,3.245093e+00,745,4.743571e-01,2.231398e+00,1.861919e-01,6.901435e-01,3.923633e+00
